Call_ID,Call_Duration,Receiver_Num,Sender_Num,Call_Start_time,Call_End_Time,Duration,Date_Time,Subscriber_ID,Call_Status,Ongoing_Call_Status,Call_Type,Platform_Name,Region,City,Date_Time_Foreign_ID
70d4280c-131b-4130-b258-7d154f458bc9,1046,471.528.5107,(710)532-8414x22018,2024-08-08 11:56:44,2024-08-08 12:33:20,2196.0,2024-08-08 11:56:44,6a606121-3446-43c8-9ba7-fda830f860fe,Completed,False,Outgoing,Discord,Far North,Maroua,470dc250554a1e7e2807591e3e2552823d9940356a4cfaa3042dc44f40d1805a
0b341296-6184-45c8-a0c3-8f3a1567d539,2838,(588)300-8094x1641,001-817-465-1272x497,2023-07-11 03:29:08,2023-07-11 03:41:22,734.0,2023-07-11 03:29:08,c6068d7b-ffe8-461a-aab4-baabe80d3681,Failed,True,Incoming,WhatsApp,East,Garoua,831d7b7776f7b18105f3bce5a692572adc6ce9cd6bdf4aa4fe5984e877a2a27a
fa5f4ef5-4cce-40a6-8b58-73b6a415bbe1,1960,9893124567,(861)503-5511,2016-11-27 16:21:47,2016-11-27 17:09:37,2870.0,2016-11-27 16:21:47,2499ae78-64fa-4d8a-af03-70c664a698a5,Completed,True,Missed,Discord,Central,Bertoua,0ca65c66a846aa799d82b5ba32ac71a120fb3112964e6c9f9e2b11e31443331a
0c465200-0b7c-4a5c-bd86-07250ffa7ac5,2794,+1-547-556-6852x961,527-972-3664,2022-08-12 14:43:47,2022-08-12 14:48:37,290.0,2022-08-12 14:43:47,2e7086fc-2f15-4931-b669-c6b1fe7ffa76,Completed,False,Outgoing,WhatsApp,Adamaoua,Bertoua,9bcba864948b58c021d0b6b37e4409e8533d1939c4658b2066472a335357a9c6
fcc9ef61-5a19-425a-9c12-f3fd2ee8ccf5,2658,777-457-2904x7611,202-322-6348,2022-03-28 03:14:27,2022-03-28 03:59:41,2714.0,2022-03-28 03:14:27,f71293f8-db2d-40b8-abc0-30d5d294c707,Failed,False,Outgoing,Messenger,Central,Buea,61520e3d586c4d2a60620b9833fdc986c3f1f21fb7377d6e6822f6148b738551
cf5aefbb-acce-4758-8f87-36765ca30476,862,515.771.4477x818,001-552-784-9793x39499,2017-04-10 01:47:19,2017-04-10 02:09:45,1346.0,2017-04-10 01:47:19,1af33f40-cb6b-4ce2-86c9-26f884a1608b,Completed,True,Outgoing,WhatsApp,Adamaoua,Ngaoundere,2e64251cbe7263b8b5ab3f24b96ad1c503035f8504724cd90ceee46bbd0c8599
0ac52ed9-c7f7-4bc5-b24f-964d64314f99,1600,+1-632-870-8071,+1-745-583-1278x8103,2018-01-24 22:59:26,2018-01-24 23:38:53,2367.0,2018-01-24 22:59:26,1a1040a7-d558-4d2a-839f-72e98dbf39da,Failed,False,Missed,Messenger,Far North,Ngaoundere,5d23e6551ff22d8e21fe0a535ea8d45fdef740990d2b0b9f1c09c0cf23d14b94
ae0b1f19-576f-4d95-9866-6e7b79ecbfee,2931,+1-969-806-8065x4077,+1-243-868-8040x410,2016-01-27 10:58:18,2016-01-27 11:27:10,1732.0,2016-01-27 10:58:18,dc647f16-a7ff-4258-aef5-cfa2a952e4e6,Failed,False,Incoming,Discord,Central,Garoua,b9c20864b3300a4c7ec07b8f1c29ca4b497508f68b672314a742cd46f824cfaa
7b7b9b7a-1edf-49b9-86f4-2fc9ef4da227,978,915.353.7339,696.410.2103x660,2023-07-20 20:11:26,2023-07-20 20:42:12,1846.0,2023-07-20 20:11:26,d3981f47-07ff-4e28-b2ba-a0ba27ce2420,Failed,False,Outgoing,WhatsApp,South,Maroua,a398c3f45db06e4d6db2f0f2518e9506410822f19687edfa71f6a6634484db0a
877ff2b9-bed2-4b6a-9fa9-89b59ef8dd0d,1040,520-836-6906,001-239-546-1061,2018-04-19 22:53:12,2018-04-19 23:28:45,2133.0,2018-04-19 22:53:12,7980b787-e0e5-4c56-a01e-03f6a0c6e0a2,Failed,False,Incoming,Discord,West,Limbe,1dcb72fd9388320d44347d71aa13487692290c79513de12e6c58bf562e3f9b76
