Agent_ID,Name,Gender,Age,Age_group,Region,City,Number,Creation_Date,Creation_Time_Foreign_ID
e326137f-9cf9-45e9-acbb-1fd6f06be5a8,Jamie Higgins,M,50,50s,Northwest,Ebolowa,+1-256-645-0512x734,2022-06-12 21:48:09,a48e7ab99c1d0a5db591de4a51fb48989d3cebe999d64b5ebc374f998f4edbb7
a5de3ed4-3529-4721-b455-efa185ad2e94,Brett Walters,M,85,80s,Far North,Ebolowa,826-757-0987x35703,2016-07-24 11:25:13,4088e2825bb62fed7138317cd3abe5c245061ce1ce1680857b4032b9bb04c337
7b2c0f0e-cf8d-48fa-9da0-17e0741a8cc6,Holly Carroll,M,65,60s,Adamaoua,Ebolowa,3645913670,2020-01-11 18:23:56,0d4628cc38a4b789f56cc25ed015c85462e4e1f08e9b00a05e7d16d0fa169dea
111f0c6f-354a-4275-aa1c-f76cb4bcc006,Amanda Johnson,M,99,90s-100s,Far North,Garoua,+1-318-620-7780x578,2018-09-16 04:58:01,ea2f7d86387176c98dd0de93134b19da432971082d9613fa37c8de09040c9d77
68b55399-13c0-4acc-b0da-717ce1092a22,Maria Adams,F,46,40s,Far North,Limbe,4805196391,2018-03-03 03:14:54,0c1c17f261b3e9c586740ca20f30adc4cc1f0fac24f7d31c48bed41673bce887
60e78db6-f11b-416b-8713-db01890741be,Steven Harmon DDS,F,35,Mid-30s Adult,Adamaoua,Bafoussam,001-332-830-8369x471,2020-06-23 08:07:35,0e9cfc598ba377ed29d47260d710abf4991c5739613c27b8fbd35fc958dce969
51434ae0-aa00-47df-be87-f6538897b8f9,Steve Mitchell,M,72,70s,West,Maroua,001-912-575-7497x2379,2022-09-07 22:38:15,ce24c9b3181af1bc3d778625aeb887db5db876fcc033f59b5b74b00ae124bc88
fb9aae2d-0fae-4bce-a085-294efe5c8009,Jessica Mcknight,M,45,40s,Littoral,Bertoua,706-635-2835x837,2024-11-29 09:32:43,254ccc5589a2029d1e42dd38374fa0b8f142993967cef2062245ef602337bceb
44532bea-882d-424f-be04-6ee5c6fe3d76,Patrick Ryan,M,17,Teenager,Far North,Yaounde,(459)750-8934x4367,2020-07-11 04:18:13,b1654973690f3638094f4468de1bf1fe08c5dc8b5ded08c48210adb7838637a0
4aebbdc6-e2f7-4f03-a44f-5b98520208a5,Robin Anderson,F,98,90s-100s,East,Maroua,966.757.2901,2019-09-14 10:26:33,939ba57fa9e1c6e85f86c8047226b463b408b1cbcda7b10373bd9143c9d2fbc9
33213fac-35a9-444c-b9c0-4d8715c96a87,Heather Ward,M,93,90s-100s,Northwest,Maroua,622.810.9178x9399,2021-10-18 18:42:41,67a43771314ad9f379b245f00f790347a3ab481175ff51b47d52b38d63f7f03b
f393379c-52f7-4e3c-8efd-1f36acdf316d,Lisa Hatfield,M,95,90s-100s,Northwest,Douala,737-520-3355x960,2018-09-01 19:02:00,94d8fd8aa081b2d222d1b6d31271e17b8fc6bcd29915d25fadd9237574fadf8d
c8ba20f6-14b5-4e08-ac3c-d98ce90cb3cd,Meghan Jones,F,57,50s,West,Yaounde,+1-328-799-6350,2016-07-12 04:53:37,bad7fb3ceb992d91fee6f883e8f01e7b29a3c3e955bfd108644c3b5e9a9b7fb0
eacdf1c3-d0ab-47eb-9029-715f944845ca,Derrick Warner,M,80,80s,Northwest,Bafoussam,474.560.7351,2022-02-01 04:56:34,fed04d7af48c1ac79cf64a10e29f877fbfccdd44c070bd8a290dd9c2716687be
775e9cdc-3b87-49cb-9baa-eec83ed4e952,Paul Dunn,M,53,50s,Far North,Douala,001-961-333-7345x0228,2019-06-06 22:48:25,ac21187c8209b11ec91a8de7cf58a1b9523908bd9e86912da75b666242abf991
92b0599a-3f66-4526-8b2c-aac02feaad3b,Austin Carr,M,29,Late-20s,West,Bertoua,751.516.1116x60152,2024-10-30 18:44:26,118c39edce2a5445ef5368bf8151934fd39216678f5b051b99e9842e3c54ab80
cdf9826a-0938-405d-849d-fd28cbaed393,Dr. Joseph Rice,F,97,90s-100s,Central,Ngaoundere,(319)526-0963,2020-09-11 04:07:42,34883e28a935ad4fee9bf71f64d785088d2a7ea033857fa7f4ccb3db64498401
91fe7c2b-4a44-4fbd-9cc6-c4d9ccffe4a1,Luke Jimenez,F,32,Early-30s,Adamaoua,Bamenda,001-807-614-3055x580,2017-06-28 06:04:48,c9dd5794a5dceea3e4de66411ff1437656a9bab9e7d00c2bd83d18ff51162f33
8a50cb66-1bbb-48fd-9c75-ea319afdf793,Danielle Grant,F,48,40s,East,Garoua,(646)460-2561,2015-04-29 13:06:56,20f0cbd08ea48423020c5c92ef6b71036e69c50da08c680ccd08c410088c53fd
