SIM_ID,Subscriber_ID,IMEI,ICCID,Activation_Date,Expiry_Date,Subscriber_Name,Activation_Date_Foreign_ID,Expiry_Date_Foreign_ID
c85962dd-aa25-43e9-a0a9-a59afe88a595,30c2fccc-e962-4c80-8a53-c117fa37c0f0,588898155746156,01260198-add5-4b76-b1a3-5c0fdfba0b2e,2024-07-16 02:52:34,2025-06-16 02:52:34,Madison Garcia,4c18d3599dc89b4756d279ab7de9bb0fbf8363cbedd9d7cba1a74c45fd6203b3,35550cbfca743bee2e1ae2748ebbb6b568943bad3a05b220b79b9b1ded8ac3d5
9bba0abe-7146-427b-9f70-68aa4c4a70b7,d8364530-ad00-46a9-872f-6ec98b5864ed,358104650313065,3a2c49c0-de31-4037-95ba-a1b7292448fc,2019-08-11 11:18:08,2019-12-11 11:18:08,Amber Odonnell,d8f9d268c9b15e2b1dbf5668913336ce3226b69fa08debcc93d892fc67f6e16c,9235f2b5218ba988764635c04c8628c668d6624b105cea314330090913f892cd
5a345e7c-725e-41ca-8efb-d04e58e90979,aa1148be-ebe0-45cd-bd2e-45674ce08d15,925551561073713,d58e8c38-370b-4e78-afc0-445053368230,2015-09-26 19:02:02,2016-04-26 19:02:02,Maria Johnson,3d8716ba10129af689af9902e172ea71e3ad5f4244d514b5e6862045f6caa10a,1401e9b4d65206e38c523dac17d0f864caf52bb877646e5e824f1faddfd4a08d
73fb4efd-a7c3-43a9-9730-6a06eb3ed56d,ea789fba-beb6-4851-b234-3ff5ac135423,338962599955766,15ce906c-c7f6-40ea-85a3-3b3c8a4e6539,2021-05-24 05:50:05,2022-03-24 05:50:05,Nicole Rodriguez,9a8259c131ba7baa017969f85a01f0e96ced83a43f0169da5e7a99f530693950,58c98208060c27d3f84212bfb30d84ea365bafc8f0a96332b0cba7ffefedbda5
4a4334fe-afd0-4dbc-82d6-ab0e6463f0f1,e6ab6374-50e7-4a6e-8e2a-40fcd08b7118,882647365248369,0036dbc4-fc67-4455-baae-b1d7cfbbd946,2023-04-03 04:13:09,2024-04-03 04:13:09,Jared Tate,392c7c28a59bf310568e8e69ffc00c9467b31fc1cb590b7aeac45e3c3933f03f,7f0e3a91a8461d8c8a1e325a7d2d2ead6f49538e18f0362b55ecd96d3e093436
ff35c78b-1151-4ed9-8e11-d4abd21918ae,424ede2d-fc8c-4248-a4c3-1b33ed15f07a,120116281728450,71dd09eb-da7f-4821-bee3-977729a319f0,2019-11-30 15:43:31,2019-12-30 15:43:31,Johnny Hansen,b404d1cecd5539694e787d46f69e59e8befa7a69a21dc627a898cceb245a105b,2d97ec4b3c2e0e5443ad4e6636b48f0195c967c1d140d0a91ed0bcc500fc06eb
3af71373-54ca-4059-80d0-7e4adef4ee5e,36815869-72bf-4235-96fe-71a6fe7dbf62,540545707470085,beb08776-0984-4d3a-b282-998b90db2160,2015-03-07 00:06:38,2015-04-07 00:06:38,Holly Williams,562aa6ae5eb287ef697cdaa11d88d8d73d34c919e7532b382cf9e80b0015286f,caebe8aecc8b9777599c27c9667cca058eb83c61d5fae9fa6d978d41a317bdcd
cfe9e11c-d26e-47b4-9d14-c08033eae368,86e80cee-26f7-4c33-9564-d6cd7cbf4d70,454629942064244,36053683-fbb9-43a7-a0ec-25588c14486f,2019-07-16 19:46:45,2019-12-16 19:46:45,John Tucker,22bd0fe60ae7c4ad89a4e300fa23c0fc0354a7b92754de3bcb6def51cbc41e95,a3acbe3a85182a20ce468f472cad768c0075bb6c84fb061307cae2672f8248ea
ec87f507-c298-4711-a646-b985a94cd59b,f665279c-8127-4734-9f0d-d17d618421d3,117096118992575,db0634e9-6e69-4547-9785-16f01c2c3702,2015-04-27 07:13:04,2016-04-27 07:13:04,Gary Singh,286efa12602ad0abb6212002cf53b77c23920824be5967edd698ac9c2f6b1915,2ec1c78abdfe6af59eda50638568f2fdefbe206bba664966d0bc4252fa34d48d
37d094c4-a081-41cd-aff6-ffdf4184536d,3be1e4d0-f16f-46a8-83c7-62b669e7b50a,964069516464533,a36f7308-2982-42f1-9735-815bd7fe29e6,2017-04-24 05:46:05,2018-03-24 05:46:05,Michael Waller,db8a975cf2e008a3834c73452b90e826d6e684dabee0d502e77c224abe202261,ff9f75b187f7bf065df6bf06f8c08ad75d74365f4b1e9eefb0f59cf9154e176f
